time,mx_cmd,my_cmd,mz_cmd,mx_achieved,my_achieved,mz_achieved,mx_residual,my_residual,mz_residual,residual_norm,left_elevon,right_elevon,rudder,body_flap,left_elevon_target,right_elevon_target,rudder_target,body_flap_target,left_elevon_rate,right_elevon_rate,rudder_rate,body_flap_rate,saturated,rate_limited
4.28,2582.648071028908,1898.849385266449,1608.3406476165214,2582.0827730792457,1897.7957052255272,1607.586605259077,0.565297949662181,1.0536800409217904,0.7540423574444048,1.4136418490372755,0.020854329348393257,-0.08828985196738094,0.07236431365288537,-0.07224555963062874,0.020854329348393257,-0.08828985196738094,0.07236431365288537,-0.07224555963062874,0.0015039329443043703,-0.0010785757285129705,0.019252524002940502,0.0015810472655662655,0.0,0.0
4.3,2584.6275392282655,1898.464688242711,1616.5178545165581,2584.062311053961,1897.4111716822636,1615.7592296522243,0.5652281743045933,1.053516560447406,0.7586248643337967,1.4159419892601914,0.020882748536209732,-0.08830780840482184,0.07274802334050658,-0.07221179300338675,0.020882748536209732,-0.08830780840482184,0.07274802334050658,-0.07221179300338675,0.0014209593908237964,-0.0008978218720451236,0.019185484381060297,0.0016883313620999485,0.0,0.0
4.32,2586.4874947107323,1898.0246321231868,1624.660855959109,2585.9223654686703,1896.9713095943039,1623.8976600093115,0.5651292420620848,1.0533225288829726,0.7631959497975913,1.418212772426456,0.02090950645594597,-0.08832214830444095,0.07313038429606311,-0.07217588152052742,0.02090950645594597,-0.08832214830444095,0.07313038429606311,-0.07217588152052742,0.001337895986811867,-0.0007169949809551768,0.019118047777826747,0.0017955741429660776,0.0,0.0
4.34,2588.227851472299,1897.5292297398814,1632.7694796385672,2587.662850329673,1896.4761317875125,1632.001724118029,0.565001142625988,1.0530979523689439,0.7677555205382305,1.4204541977020109,0.020934601406744698,-0.08833287035834733,0.07351138859905927,-0.0721378260719691,0.020934601406744698,-0.08833287035834733,0.07351138859905927,-0.0721378260719691,0.0012547475399363878,-0.0005361026953192016,0.01905021514980801,0.0019027724279162272,0.0,0.0
4.36,2589.8485290391777,1896.9784955386933,1640.8435539767586,2589.283685172078,1895.9256527007628,1640.0712504934738,0.5648438670996256,1.0528428379304842,0.7723034832847588,1.42266626651346,0.020958031783989226,-0.08833997341152675,0.07389102834829064,-0.07209762761121279,0.020958031783989226,-0.08833997341152675,0.07389102834829064,-0.07209762761121279,0.0011715188622264325,-0.00035515265897068105,0.018981987461568622,0.002009923037815664,0.0,0.0
4.38,2591.349452471528,1896.372445578993,1648.8829081265708,2590.7847950635282,1895.3198883855162,1648.1060683817743,0.5646574079996753,1.0525571934767868,0.7768397447964617,1.424848982539579,0.020979796079386073,-0.08834345646191022,0.07426929566200388,-0.07205528715531777,0.020979796079386073,-0.08834345646191022,0.07426929566200388,-0.07205528715531777,0.001088214769842319,-0.00017415251917368701,0.018913365685661876,0.0021170227947509,0.0,0.0
4.4,2592.7305523669165,1895.7110975331539,1656.8873719755709,2592.1661106076567,1894.658856505351,1656.1060077637078,0.5644417592598074,1.0522410278028929,0.7813642118630924,1.4270023517038877,0.02099989288104214,-0.08834331866043581,0.07464618267805684,-0.07201080578487534,0.02099989288104214,-0.08834331866043581,0.07464618267805684,-0.07201080578487534,0.0010048400828034307,6.8900737205945806e-06,0.018844350802647847,0.0022240685221212864,0.0,0.0
4.42,2593.9917648635314,1894.9944706860388,1664.8567761496013,2593.427567947305,1893.9425763354518,1664.0708993582925,0.5641969162265923,1.051894350586963,0.7858767913087377,1.429126382162922,0.021018320873537236,-0.08833955931110408,0.07502168155407826,-0.0719641846439808,0.021018320873537236,-0.08833955931110408,0.07502168155407826,-0.0719641846439808,0.0009213996247547235,0.00018796746658611418,0.018774943801071198,0.002331057044727136,0.0,0.0
4.44,2595.1330316431304,1894.222585934435,1672.790952016368,2594.5691087674645,1893.1710687620441,1672.0005746263762,0.5639228756658667,1.0515171723909589,0.7903773899918178,1.4312210842992135,0.02103507883799137,-0.08833217787102655,0.07539578446762817,-0.07191542494020334,0.02103507883799137,-0.08833217787102655,0.07539578446762817,-0.07191542494020334,0.00083789822270669,0.00036907200387653605,0.018705145677495177,0.002437985188873115,0.0,0.0
4.46,2596.1542999337416,1893.3954657864476,1680.6897316890054,2595.5906802979853,1892.3443562817856,1679.8948657741971,0.5636196357563676,1.0511095046620085,0.7948659148082697,1.4332864707116093,0.02105016565212727,-0.08832117395046779,0.07576848361635763,-0.07186452794455418,0.02105016565212727,-0.08832117395046779,0.07576848361635763,-0.07186452794455418,0.0007543407067951008,0.0005501960279381823,0.01863495743647317,0.002544849782457753,0.0,0.0
