time,theta,theta_ref,q,q_measured,moment,moment_cmd,moment_rate,eta,eta_dot,modal_energy,effectiveness,disturbance_moment,controller
7.4,0.07627863365788289,0.05235987755982989,0.03371348476505691,0.029531172021501503,-2477.285324995907,-2730.014995648308,-3019.986196253376,-0.007804925842232075,-0.009294028319012014,0.0019925292380850446,0.9687802966310717,0.0,flex_sensor_pd
7.41,0.0766134028356428,0.05235987755982989,0.033239485187691126,0.029116444359547407,-2506.981781149328,-2755.3897887752114,-2969.645615342097,-0.007897206110041157,-0.009162312951430482,0.0020376816483330595,0.9684111755598354,0.0,flex_sensor_pd
7.42,0.07694340625815944,0.05235987755982989,0.03276035001904046,0.028695888087334476,-2536.170429587709,-2780.221491694992,-2918.8648438380824,-0.0079881770756499,-0.00903213762601329,0.0020827408907896573,0.9680472916974004,0.0,flex_sensor_pd
7.43,0.07726859305888191,0.05235987755982989,0.032276177227564255,0.028269686054764223,-2564.8471245177343,-2804.5081062587874,-2867.6694930025405,-0.008077853210200785,-0.008903313717333406,0.0021276892971122644,0.9676885871591968,0.0,flex_sensor_pd
7.44,0.07758891335373881,0.05235987755982989,0.0317870653326667,0.027838028723840176,-2593.00797250043,-2828.2478456408703,-2816.0847982695486,-0.008166247018582984,-0.00877563690850339,0.0021725087933674387,0.9673350119256681,0.0,flex_sensor_pd
7.45,0.07790431824640774,0.05235987755982989,0.03129311335677637,0.02740111327097032,-2620.6493276298775,-2851.4391209249357,-2764.1355129447675,-0.008253368891897895,-0.008648889079569,0.002217180779259276,0.9669865244324084,0.0,flex_sensor_pd
7.46,0.07821475983310813,0.05235987755982989,0.03079442077798695,0.026959142659717338,-2647.7677857022977,-2874.080527187052,-2711.8458072420253,-0.008339226979155432,-0.008522840262821355,0.002261686014588747,0.9666430920833783,0.0,flex_sensor_pd
7.47,0.07852019120692427,0.05235987755982989,0.0302910874834728,0.026512324690869806,-2674.360177434988,-2896.1708291824484,-2659.239173269043,-0.008423827078796456,-0.00839725065022888,0.0023060045141522463,0.9663046916848141,0.0,flex_sensor_pd
7.48,0.0788205664616672,0.05235987755982989,0.02978321372388609,0.02606087103675711,-2700.4235608002114,-2917.7089467442797,-2606.3383365223217,-0.008507172550487935,-0.008271872638064398,0.002350115452190992,0.9659713097980482,0.0,flex_sensor_pd
7.49,0.0791158406952863,0.05235987755982989,0.02927090006893442,0.025604996266731822,-2725.9552125441887,-2938.6939400027018,-2553.1651743977363,-0.008589264247488083,-0.008146452893783549,0.0023939970773969818,0.9656429430100477,0.0,flex_sensor_pd
7.5,0.07940597001284333,0.05235987755982989,0.02875424736432844,0.02514491687069508,-2750.9526189658327,-2959.1249945320506,-2499.7406421643973,-0.008670100469729543,-0.008020734430296356,0.002437626639367213,0.9653195981210818,0.0,flex_sensor_pd
7.51,0.07969091152906367,0.05235987755982989,0.02823335669027815,0.024680850287445197,-2775.4134660337586,-2979.0014065326095,-2446.0847067925897,-0.008749676937621034,-0.007894458672962125,0.0024809803272771505,0.9650012922495159,0.0,flex_sensor_pd
7.5200000000000005,0.07997062337048078,0.05235987755982989,0.02770832932170491,0.02421301394448825,-2799.335628923389,-2998.322568151402,-2392.216288963027,-0.008827986786422479,-0.007767367504925911,0.002524033221418286,0.96468805285431,0.0,flex_sensor_pd
7.53,0.08024506467719214,0.05235987755982989,0.02717926669032308,0.023741624315763623,-2822.71716105863,-3017.08795304375,-2338.1532135241287,-0.008905020580906699,-0.007639205276798792,0.0025667592581144353,0.9643799176763732,0.0,flex_sensor_pd
7.54,0.08051419560424591,0.05235987755982989,0.026646270348731398,0.02326689600350933,-2845.556282744626,-3035.297102273917,-2283.9121685995906,-0.008980766349883061,-0.007509720767160148,0.0026091312083984996,0.9640769346004677,0.0,flex_sensor_pd
7.55,0.08077797732267908,0.05235987755982989,0.026109441936639253,0.02278904085022391,-2867.8513694794774,-3052.949610649144,-2229.508673485134,-0.009055209640025994,-0.0073786690809229906,0.0026511206706971145,0.9637791614398961,0.0,flex_sensor_pd
7.5600000000000005,0.08103637202022895,0.05235987755982989,0.025568883149337533,0.02230826708637595,-2889.6009400335834,-3070.0451135767385,-2174.957055410596,-0.009128333588324882,-0.007245813473247957,0.002692698077636238,0.9634866656467005,0.0,flex_sensor_pd
7.57,0.08128934290174113,0.05235987755982989,0.02502469570850738,0.021824778519172004,-2910.8036443853593,-3086.5832745287335,-2120.270435177599,-0.009200119012352206,-0.00711092708741195,0.002733832716947469,0.9631995239505912,0.0,flex_sensor_pd
7.58,0.08153685418929738,0.05235987755982989,0.024476981335443525,0.021338773767321215,-2931.458251601608,-3102.56377319289,-2065.460721624868,-0.009270544517434769,-0.006973794595827353,0.002774492766324071,0.9629178219302609,0.0,flex_sensor_pd
7.59,0.08177887112208823,0.05235987755982989,0.023925841726751582,0.02085044554633433,-2951.5636377496885,-3117.9862943827243,-2010.538614808047,-0.009339586619709041,-0.006834213734260557,0.002814645341948319,0.9626416535211638,0.0,flex_sensor_pd
7.6000000000000005,0.08201535995605502,0.05235987755982989,0.02337137853256137,0.020359980008468077,-2971.1187739269367,-3132.850517772643,-1955.5136177248187,-0.009407219883946605,-0.006691996720207325,0.002854256560289085,0.9623711204642136,0.0,flex_sensor_pd
7.61,0.0822462879633268,0.05235987755982989,0.02281369333728069,0.01986755614097774,-2990.1227144905124,-3147.1561085173607,-1900.3940563575725,-0.00947341707495004,-0.006546971547339882,0.0028932916126513985,0.9621063317001999,0.0,flex_sensor_pd
7.62,0.08247162343147744,0.05235987755982989,0.022252887642896374,0.01937334522587372,-3008.5745855680284,-3160.9027088075604,-1845.187107751599,-0.009538149321243685,-0.0063989831489392295,0.0029317148518491283,0.9618474027150252,0.0,flex_sensor_pd
7.63,0.08269133566262857,0.05235987755982989,0.02168906285481209,0.018877510363895917,-3026.4735739259777,-3174.0899304062614,-1789.8988357949293,-0.00960138628971797,-0.006247894424258166,0.0029694898902686328,0.9615944548411282,0.0,flex_sensor_pd
7.640000000000001,0.08290539497242334,0.05235987755982989,0.021122320270194974,0.018380206064926706,-3043.8189162691556,-3186.717348202742,-1734.534234317789,-0.009663096369830777,-0.006093587122818372,0.003006579708496064,0.9613476145206769,0.0,flex_sensor_pd
7.65,0.08311377268889614,0.05235987755982989,0.020552761068786472,0.017881577906562234,-3060.6098890399976,-3198.784494813008,-1679.0972770842018,-0.009723246865924646,-0.005935962582720528,0.0030429467735945594,0.9611070125363014,0.0,flex_sensor_pd
7.66,0.08331644115126235,0.05235987755982989,0.01998048630611637,0.017381762262056843,-3076.8457987820634,-3210.2908562479656,-1623.5909742065814,-0.009781804196184875,-0.005774942320132279,0.0030785531660404287,0.9608727832152605,0.0,flex_sensor_pd
7.67,0.08351337370865212,0.05235987755982989,0.01940559690904315,0.016880886098350048,-3092.525973126837,-3221.2358686625385,-1568.0174344773604,-0.00983873409674066,-0.005610468468206895,0.0031133607142601245,0.9606450636130374,0.0,flex_sensor_pd
7.68,0.08370454471881064,0.05235987755982989,0.01882819367352885,0.01637906684438314,-3107.6497524576157,-3231.61891619111,-1512.3779330778689,-0.009894001829399353,-0.005442504064768245,0.003147331135652557,0.9604239926824026,0.0,flex_sensor_pd
7.69,0.08388992954678696,0.05235987755982989,0.018248377264542304,0.015876412329416875,-3122.216482298574,-3241.439329866884,-1456.6729840958487,-0.009947572391502646,-0.005271033189167621,0.003180426182934595,0.9602097104339894,0.0,flex_sensor_pd
7.7,0.08406950456363206,0.05235987755982989,0.01766624821797131,0.015373020790575863,-3136.2255064711567,-3250.696387615132,-1400.9024172582485,-0.00999941072640283,-0.005096060949767659,0.003212607794611473,0.9600023570943886,0.0,flex_sensor_pd
7.71,0.08424324714512538,0.05235987755982989,0.017081906944411897,0.014868980948372815,-3149.676161053819,-3259.3893153028503,-1345.0654582662537,-0.010049481933076915,-0.004917613324531293,0.003243838248348462,0.9598020722676923,0.0,flex_sensor_pd
7.72,0.08441113567054821,0.05235987755982989,0.016495453734691575,0.014364372148509523,-3162.5677691748574,-3267.517288820138,-1289.160812103819,-0.010097751473426219,-0.004735736858182338,0.003274080316005577,0.9596089941062951,0.0,flex_sensor_pd
7.73,0.08457314952152027,0.05235987755982989,0.01590698876697334,0.013859264567814576,-3174.8996366616598,-3275.079437161712,-1233.1867486802366,-0.010144185375848429,-0.004550498220352806,0.003303297419093185,0.9594232584966063,0.0,flex_sensor_pd
7.74,0.08472926908091452,0.05235987755982989,0.015316612115278124,0.013353719481762706,-3186.671048563272,-3282.074846470362,-1177.1411901612282,-0.010188750433717867,-0.004361983630034262,0.0033314537834130964,0.9592449982651285,0.0,flex_sensor_pd
7.75,0.08487947573186364,0.05235987755982989,0.014724423759255829,0.012847789590630432,-3197.8812665566884,-3288.5025649979775,-1121.0217993416336,-0.010231414397467147,-0.004170298152500882,0.003358514591666713,0.9590743424101315,0.0,flex_sensor_pd
7.76,0.08502375185686972,0.05235987755982989,0.01413052359502847,0.012341519400979058,-3208.529527240845,-3294.36160893396,-1064.8260684156412,-0.01027214615902911,-0.0039755648756653605,0.00338444613283892,0.9589114153638836,0.0,flex_sensor_pd
7.7700000000000005,0.085162080837027,0.05235987755982989,0.013535011446923992,0.011834945658821722,-3218.61504131593,-3299.6509690454627,-1008.551407508503,-0.010310915927471253,-0.0037779239735606005,0.0034092159472031737,0.958756336290115,0.0,flex_sensor_pd
7.78,0.0852944470513656,0.05235987755982989,0.012937987079915426,0.011328097830527583,-3228.136993639374,-3304.3696180690704,-952.1952323444111,-0.01034769539473517,-0.003577531665306319,0.003432792965839285,0.9586092184210593,0.0,flex_sensor_pd
7.79,0.08542083587632238,0.05235987755982989,0.0123395502125777,0.010820998627245303,-3237.0945441438034,-3308.5165187890884,-895.7550504429491,-0.010382457890480186,-0.0033745590785164395,0.003455147643610215,0.9584701684380793,0.0,flex_sensor_pd
