time,phi,theta,psi,phi_ref,theta_ref,psi_ref,p,q,r,mx,my,mz,mx_cmd,my_cmd,mz_cmd,mx_rate,my_rate,mz_rate
22.48,-0.048764847077639395,-0.011541656242892141,0.06733538344186663,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09206624849504408,-0.03774509805518493,0.013054048555675359,-817.8890912870505,2220.737743717479,136.52825291949716,-1409.6703009057555,2510.5377576274295,7.608996242955442,-6606.013388223084,3297.1205727281585,-1435.7280612382624
22.5,-0.046932549853153205,-0.012274203790821416,0.06763237914209341,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09150502588695508,-0.03684219401283253,0.013103752301266706,-948.786009234938,2284.839016325491,108.0124212425082,-1534.580418467649,2566.13476202426,-19.940728579712697,-6544.8458973943725,3205.063630400582,-1425.7915838494482
22.52,-0.0451123963452158,-0.012988974875767384,0.06792809142936607,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09087187888469786,-0.035915646554254575,0.013143560767761565,-1078.3586983865093,2347.059217888744,79.71028409921422,-1657.7171335109267,2619.6765294861716,-47.211674131416686,-6478.634457578568,3111.010078162667,-1415.1068571646988
22.54,-0.04330580790518157,-0.01368550744876592,0.06822237754479321,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09016762386462907,-0.03496622025440613,0.013173534003498322,-1206.5078053744787,2407.3598244090736,51.63623767417721,-1778.9883134425313,2671.131016273347,-74.19198290951621,-6407.4553493984695,3015.030326016472,-1403.7023212518504
22.56,-0.041514188719454115,-0.0143633534618183,0.06851509937000566,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08939313146942875,-0.03399469343363162,0.01319373845808487,-1333.1355740047657,2465.7037452657705,23.80411661733487,-1898.3037398749043,2720.467721791334,-100.87032067931474,-6331.388431514347,2917.1960428348484,-1391.606052842117
22.580000000000002,-0.039738924766777206,-0.015022079179838528,0.06880612330341584,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08854932566646473,-0.03300185754124527,0.013204246833355658,-1458.1459153813148,2522.0553474953017,-3.7727974917385048,-2015.5751719305915,2767.6577086712828,-127.23586287819928,-6250.5170688274575,2817.580111476559,-1378.8457054536686
22.6,-0.037981382793911944,-0.015661265482534135,0.06909532012767139,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08763718276771386,-0.03198851653208633,0.013205137931394871,-1581.4444765223413,2576.3804791421376,-31.081766544505463,-2130.716407742504,2812.673621785396,-153.27828017884528,-6164.9280570513265,2716.2565823417935,-1365.4484526383478
22.62,-0.03624290931041019,-0.016280508155871745,0.06938256486908756,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08665773041211611,-0.030955486236541874,0.013196496499939706,-1702.9387074025824,2628.6464916506316,-58.11058523413239,-2243.6433441096588,2855.489706171505,-178.9877232872904,-6074.711544012052,2613.3006254246993,-1351.4409344813462
22.64,-0.034524829603168605,-0.016879418172793623,0.0696677366498526,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08561204651127385,-0.029903593724532947,0.013178413075474661,-1822.537926361716,2678.822261268774,-84.84756938358579,-2354.2740342705247,2896.081823842949,-204.35480705247045,-5979.960947956681,2508.7884809071284,-1336.8492074726703
22.66,-0.03282844677145391,-0.017457621962867015,0.06995071853382084,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.0845012581594418,-0.0288336766639625,0.01315098382432397,-1940.1533838239673,2726.8782094358157,-111.28154334061936,-2462.528743756082,2934.427469461106,-229.3705939656263,-5880.772873112562,2402.7974083520803,-1321.6986978516786
22.68,-0.031155040783075183,-0.018014761670564365,0.07023139736670858,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08332654050878395,-0.027746582674125553,0.013114310382044737,-2055.6983242777014,2772.7863221269567,-137.40182651109208,-2568.3300042861274,2970.505784849858,-254.02657712791535,-5777.247022686708,2295.4056345570507,-1306.0141585236358
22.7,-0.029505867552367615,-0.018550495401889282,0.07050966361152478,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08208911561090274,-0.02664316867458324,0.013068499691418009,-2169.0880464670654,2816.52016812963,-163.19821910358277,-2671.602665673557,3004.2975723328473,-278.3146627660318,-5669.486109468198,2186.6923001336545,-1289.8196296245344
22.72,-0.02788215804064409,-0.019064497459080315,0.07078541118006454,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08079025122567265,-0.025524300230003134,0.013013663839328985,-2280.2399617505325,2858.054916227314,-188.66098715977878,-2772.273945702275,3035.7853068749782,-302.22715237514166,-5557.595764173357,2076.7374048842157,-1273.1384028098005
22.740000000000002,-0.02628511737975492,-0.019556458563142132,0.07105853726130151,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07943125959843614,-0.024390850891468367,0.012949919892820828,-2389.0736505836085,2897.367351268033,-213.78084694618474,-2870.2734779458387,3064.953147013571,-325.7567245690848,-5441.684441653797,1965.6217520359405,-1255.9929893202977
22.76,-0.024715924019389046,-0.020026086063971427,0.07132894214750696,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07801349620664386,-0.023243701534757365,0.012877389734599126,-2495.5109170851174,2934.4358890965136,-238.5489487836719,-2965.533357494778,3091.7869445633387,-348.89641671691663,-5321.8633250754465,1853.4268914240329,-1238.4050918743583
